run_name,mode,n_samples,batch_size,embed_dim,epoch,train_loss,train_batch_pos_sim,train_batch_neg_sim,val_recall@1,val_recall@5,val_recall@10,val_recall@50,val_lift@1,val_lift@5,val_lift@10,val_lift@50,val_pos_sim_mean,val_pos_sim_median,val_n_pool,epoch_time_sec,peak_cuda_memory_gb,config_batch_size,config_embed_dim,config_n_total,config_n_train,config_n_val,data_mode,cuda_device_name,cuda_total_memory_gb,torch_cuda_version,use_amp
easy_n10000_bs512_d256,easy,10000,512,256,10.0,1.6656465530395508,0.89056396484375,-0.0020219534635543,0.3035,0.6815,0.8185,0.981,607.0,272.6,163.7,39.24,0.8992076516151428,0.9172691702842712,2000.0,12.103526999999303,0.2291340827941894,512,256,10000,8000,2000,easy,NVIDIA GeForce RTX 4090,23.988,12.8,True
easy_n30000_bs512_d256_img96,easy,30000,512,256,10.0,1.328919065759537,0.900380236037234,-0.0017436463782127,0.2001666666666666,0.526,0.6971666666666667,0.9505,1201.0,631.1999999999999,418.3,114.06,0.9049907326698304,0.9194579124450684,6000.0,41.27684649999719,0.4715652465820312,512,256,30000,24000,6000,easy,NVIDIA GeForce RTX 4090,23.988,12.8,True
noisy_n10000_bs512_d256,noisy,10000,512,256,10.0,0.879342932254076,0.627410888671875,-0.001905620098114,0.0015,0.006,0.0065,0.029,3.0,2.4,1.2999999999999998,1.16,0.0108556812629103,0.0111985243856906,2000.0,12.09003289998509,0.2291340827941894,512,256,10000,8000,2000,noisy,NVIDIA GeForce RTX 4090,23.988,12.8,True
noisy_n30000_bs512_d256_img96,noisy,30000,512,256,10.0,4.457398942176332,0.7156437001329787,0.3016902842420212,0.0008333333333333,0.004,0.0071666666666666,0.0303333333333333,5.000000000000001,4.8,4.3,3.64,0.4833322763442993,0.5377442836761475,6000.0,41.0326747999643,0.4715652465820312,512,256,30000,24000,6000,noisy,NVIDIA GeForce RTX 4090,23.988,12.8,True
shifted_n10000_bs512_d256,shifted,10000,512,256,10.0,2.3592839166522026,0.782073974609375,0.0017768591642379,0.03,0.1185,0.1885,0.4705,60.0,47.4,37.7,18.82,0.6164272427558899,0.6676754951477051,2000.0,12.231058900011703,0.2291340827941894,512,256,10000,8000,2000,shifted,NVIDIA GeForce RTX 4090,23.988,12.8,True
shifted_n30000_bs128_d256_img96,shifted,30000,128,256,10.0,1.3978524249284825,0.8506119099069149,0.0049476509398602,0.0218333333333333,0.0855,0.1411666666666666,0.3673333333333333,131.0,102.6,84.69999999999999,44.080000000000005,0.7581790089607239,0.7969807982444763,6000.0,54.53599900001427,0.1453666687011718,128,256,30000,24000,6000,shifted,NVIDIA GeForce RTX 4090,23.988,12.8,True
shifted_n30000_bs512_d256_img96,shifted,30000,512,256,10.0,2.6029185792233083,0.8100066489361702,0.0169961807575631,0.0253333333333333,0.0853333333333333,0.142,0.374,152.0,102.4,85.19999999999999,44.88,0.726294755935669,0.7647342681884766,6000.0,41.054712200013455,0.4715652465820312,512,256,30000,24000,6000,shifted,NVIDIA GeForce RTX 4090,23.988,12.8,True
